ID,Content,Class,Platform
1102856887526141952,"Why was a documentary film on the 'anti-Semitism in Labour debate' banned from being screened at the British parliament? https://t.co/ZEBZWyahEl — #AJOpinion, by @nevegordon ",politics,twitter
1168941332959830019,"And it's here!

The #WorldCup logo for #Qatar2022 is out 🇶🇦 🙌 ⚽ ",sports,twitter
1143934448473272320,Scientists warn that a dramatic decline in the number of insects will directly threaten all life on earth. ,environment,twitter
1153945413499494401,"""He's made a string of deeply offensive and bigoted remarks.""

Boris Johnson has been elected as the UK's next PM by the ruling Conservative party - but his critics say he lacks the qualities to be leader. https://t.co/J5R3kyuFZs ",politics,twitter
1174661981028139008,The mobile clinics saving lives in India's Assam state — in pictures https://t.co/RK6IL04z28 ,health,twitter
1101153851506348032,"""Yoga is something that also helps with self-awareness, helps with depression.""

Afghanistan's only yoga studio for war-weary women https://t.co/kFlJtgNZmj ",health,twitter
1173699348783337472,European families 'feel safer' in Scotland than England https://t.co/kHgGpN041U ,others,twitter
1100478174201298944,Who should be held responsible for thousands of Yemenis who have died from starvation? @AJStream looks at the humanitarian crisis from Yemen’s war. Join the conversation live on YouTube https://t.co/mz4HL5txDh ,human-rights-press-freedom,twitter
1153001714989043713,From Burberry to Dolce &amp; Gabbana: Why are big brands buying into Muslim fashion? https://t.co/LM3J7gEOv4 #AJCTC ,fashion-and-lifestyle,twitter
1173574805527957504,"#OnThisDay in 2007, Blackwater private security contractors killed and wounded dozens of Iraqi civilians in Baghdad's Nisour Square.

@AJHeadtoHead challenges Blackwater founder Erik Prince on his firm's role in Iraq &amp; his plan to privatise the Afghan war https://t.co/ObfXZMxLjy ",war-conflict,twitter
1172038409038249984,Israel election: Where do the parties stand on the occupation? https://t.co/tYrwqn4Owv ,politics,twitter
1098183015405101056,"After decades of religious figures sexually assaulting children, Pope Francis attempts to resolve crisis, with the Vatican's first summit on child sex abuse https://t.co/5vlBHinKT6 ",spiritual,twitter
1168674969158504448,"3,500-year-old city emerges on the banks of the Tigris River in drought hit northern Iraq.

And no, it's not Atlantis. ",environment,twitter
1173514357520683008,Meet Nigeria's 9-year-old game code master 🎮 ,science-and-technology,twitter
1168633620594069509,Brexit crisis deepens as Tory rebellion mounts ,politics,twitter
1170547317356879872,"""You're inside that cell for 23 hours [a day]."" 

Surviving migrant shelters, US detention with a mental illness https://t.co/L9JS6WtwMc ",human-rights-press-freedom,twitter
670527574024568832,.@AJ101East gets a rare look into the lucrative world of forged Chinese antiques https://t.co/0LYm2LYvAM ,business-and-economy,twitter
1142550958859325442,EU leaders fail to show united front on climate change ,environment,twitter
1168474914027966464,"UN condemns Saudi-led attack on prison, calls for accountability.
 
More than 100 people ""presumed killed"" in the bombing in Dhamar on Sunday - the deadliest hit this year https://t.co/pt8xiljujI ",war-conflict,twitter
1141828070892027904,"Here's why Israel fears the Boycott, Divestment, Sanctions (BDS) movement. ",politics,twitter
1173114245925474304,"Today, Tunisians head to the polls to elect their new president. 

In a rare sight in the Arab world, candidate debates aired ahead of the vote, a turning point in Tunisian politics.

Tunisia has since been considered a rare success story post #ArabSpring.
",politics,twitter
1163839375442096128,Woman forced to leave bus for wearing face veil in the Netherlands https://t.co/ZsLIn97ZmF ,human-rights-press-freedom,twitter
1168275052590034945,Missing Maldives journalist Rilwan 'killed by al-Qaeda affiliate' ,crime_and_security,twitter
1172114105278201856,"With journalists and bureaus in over 150 countries, we strive to reach people and their stories no matter who or where they are to provide a full global picture of news events.

Offer your guests award-winning news content. Get in touch with Al Jazeera. https://t.co/VQxvXfZXsI ",human-rights-press-freedom,twitter
1141424326186536961,"Many Uighurs, who escaped to Turkey, are living in limbo, unable to get in contact with their loved ones. [Via @ContrastVR] ",human-rights-press-freedom,twitter
1172083707727028228,"Scientists have discovered water on a planet outside our solar system for the first time.

Exoplanet K2-18b also has temperatures that could support life.

The planet is more than a hundred light-years away, making travel there not possible https://t.co/BkVizjH0eH ",science-and-technology,twitter
1149978073909080065,"Hezbollah warns that Iran ""is able to bombard Israel with ferocity and force"" if war breaks out with the US https://t.co/yHpFCx6WbR ",war-conflict,twitter
1160071030267949056,The silence that has long surrounded sexual harassment and abuse of power in the Iranian workplace is finally being broken https://t.co/qHvwImkJKB ,human-rights-press-freedom,twitter
1141397734487928833,@AgnesCallamard Saudi slams UN report on Khashoggi killing as 'unfounded' https://t.co/uyd1b87s0V ,politics,twitter
1171963109680013318,Koizumi says Japan should scrap nuclear plants after Fukushima ,environment,twitter
1166802674785968130,"Cheaper prices 💰 vs ethical industries 🌍

Would you pay more for socially-conscious brands? Let us know your thoughts 👇 ",business-and-economy,twitter
1175009396767768577,"""The older generations are failing our planet. It is time we, the young people, take over.""

Why I am taking part in the #ClimateStrike https://t.co/k6RtTC3QWF — #AJOpinion, by 
@aibsais https://t.co/dcHubZbIw7 ",environment,twitter
1153043242503589888,At least 11 killed in Syrian government attack on Idlib province https://t.co/mTZ5KpiX0V ,war-conflict,twitter
1148011325521575936,"A new cold war in Africa https://t.co/vxV3ttouDu — #AJOpinion, by @DrMehari ",war-conflict,twitter
1140729753437167624,Obituary: Egypt's first freely elected President Mohamed Morsi ,politics,twitter
1140703315426271233,"@hrw @naderalihashemi “This is not a sudden death, this is a slow death of a political prisoner … an elected president [Mohamed Morsi] of a country” - @marwanbishara, Al Jazeera’s senior political analyst. ",politics,twitter
1165315332246036481,"""I feel so good, I feel fresh.""

Meet the boxing grannies of South Africa 🥊 ",sports,twitter
1148868226832580608,"""It's a great honour to work with a friend."" - President Trump

Trump gives a warm White House welcome to Qatar's emir https://t.co/Wle0XH94gK ",politics,twitter
1148819135247335424,Scientists warn that a dramatic decline in the number of insects will directly threaten all life on earth. ,environment,twitter
1140338673772367872,FIFA tells Saudis to stop pirating Women's World Cup TV feeds https://t.co/NGXaXDaiXw ,sports,twitter
1140335589855834125,"Kenya's chimp habitats threatened by logging, human settlements and war — in pictures https://t.co/O1GELjzRZT ",environment,twitter
1174519310196367360,US supports Saudi 'right to defend itself': Pompeo ,war-conflict,twitter
1162491981941096448,Jeffrey Epstein death ruled suicide by hanging: Medical examiner ,crime_and_security,twitter
1140891934304722944,Canada's Quebec bans some public sector employees from wearing religious symbols during work hours https://t.co/fVG8dcIrac ,spiritual,twitter
1162372905067528196,Beat stress one smash at a time at this rage room ⛏️ ,health,twitter
1138166480783237120,"India has 15 of the world’s 20 most polluted cities, and it’s only getting worse. @AJStream looks at what's being done to combat Delhi's air pollution. Join the conversation LIVE on YouTube https://t.co/BOhmXVC9zL ",environment,twitter
1162337595982065665,The first special UN Security Council session on Kashmir will take place today after 54 years https://t.co/G2NOpVgmnz ,war-conflict,twitter
1147571498451951617,Tibetans around the world celebrate Dalai Lama's birthday as he turns 84 https://t.co/PwSJn1K9GA ,spiritual,twitter
